Model,Dice,IOU,Precision,Recall,F1
version1_both,0.6617803343398032,0.5837422647458429,0.8413753978074571,0.6877887075473094,0.7568690572760186
version2_pixelwise,0.6579775826187823,0.5733687504115977,0.8258250992575344,0.6895367336878828,0.7515521760670119
both_pixelwise,0.6580517174684207,0.5727909182466899,0.8040766996257831,0.7080337617216185,0.7530051076314187
version1_kld_pixelwise,0.6393763522140488,0.5589988205084443,0.8155262112857501,0.6747043990920899,0.7384617098824598
ce_pixelwise,0.6749708639274875,0.5929904681365049,0.8067807366533438,0.7125148298418637,0.756723381510722
kld_pixelwise,0.6694223961254085,0.5891820688122054,0.8039429241899732,0.7142371356075574,0.7564397749262866
version2,0.6493698762694982,0.5662062163183066,0.8225928035407408,0.6896926342804841,0.7503030624054056
unet,0.6481180341018632,0.5678733696283974,0.8165864361570208,0.6862639592641192,0.7457746193046132
version1_both_pixelwise,0.6420863110327665,0.5640238867471525,0.7848130190024117,0.6931383821013523,0.7361324950700695
version1_ce,0.6537757218385188,0.5724306103611044,0.8123514081858275,0.6950030548347157,0.7491094153886997
kd_pixelwise,0.6324618043470411,0.5537606042369932,0.7959618737021438,0.6847749878370462,0.7361939809029496
version1_both_batchmean,0.6443883923627007,0.5630986360706466,0.7942497966966259,0.6933929567001345,0.7404025107943009
version1_kl_batchmean,0.649685843613452,0.5676700455918432,0.7930659420155505,0.6975741682757068,0.7422614098062784
curricullum_pixelwise,0.6388903719084763,0.5551626993911131,0.7837153458839019,0.7047052939661197,0.7421132688169721
version1_ce_batchmean,0.6550545019874534,0.5730221804164342,0.8046700133202725,0.6937244320147785,0.7450898522586406
version2_batchmean,0.6525053495173359,0.5704704914881017,0.8257948414965817,0.6805424955754579,0.7461655081295336
version2_batchmean_1,0.6410792692317158,0.5602413371551307,0.8285597866129875,0.6681997379802074,0.7397894227079795
version1_kl,0.6264545057758508,0.5495030675659048,0.7963245790664907,0.6826941191185136,0.7351443328003371
version1_ce_pixelwise,0.6562582581408093,0.574007955974006,0.8066986200209643,0.7026865566981797,0.7511088413202051
kd_alpha_0.3,0.6556208206442098,0.5787259277012005,0.8123090943931254,0.7010674690226084,0.7525998414894112
kd_alpha_0.7,0.6465928893342491,0.5662293269382563,0.7863099376744367,0.6941356717262777,0.7373533661849763
kd_temp_1_alpha_0.3,0.6338157558898048,0.5540235437465502,0.8084816486285509,0.6774073318671683,0.7371632788855101
kd_temp_1.5_alpha_0.3,0.6329885516245138,0.5548649492527843,0.7841659749846142,0.6891144278362726,0.7335739838058399
kd_temp_2_alpha_0.3,0.6314889339715268,0.5516445615865629,0.7858024871727083,0.6860131401215912,0.7325249463911491
kd_temp_2.5_alpha_0.3,0.649294698513523,0.5700531382585436,0.8092370284749822,0.6774512227833445,0.7375031234664389
kd_temp_3.5_alpha_0.3,0.6643658499584919,0.5812882190028175,0.8113822207448119,0.7157156925650904,0.7605523954868055
kd_temp_4.0_alpha_0.3,0.6805658169404687,0.6016579031006425,0.8087025518374804,0.722369170736459,0.7631017974275041
kd_temp_4.5_alpha_0.3,0.6532790475311853,0.5741303694322839,0.8054198513703562,0.7029604892141335,0.7507103049655091
kd_temp_5.0_alpha_0.3,0.6755068157939753,0.5985432797625823,0.8361155351658606,0.704349386924143,0.7645970461863167
both_temp_4.0_alpha_0.3,0.6742892731048653,0.5899765982642807,0.8387150092691412,0.7118306526978561,0.7700812263963479
both_temp_5.0_alpha_0.3,0.6801871024145244,0.5958807800110533,0.8218706253553737,0.7226845376945963,0.7690928846553617
ce_temp_4.0_alpha_0.3,0.6759490074585496,0.59126157054094,0.8128244033164966,0.717910137865739,0.7624246578964636
ce_temp_5.0_alpha_0.3,0.6564440743110052,0.5749225987267369,0.80959510657399,0.7032843797936532,0.7527044917211624
kld_temp_4.0_alpha_0.3,0.6425390061868075,0.5630025211700649,0.8106023655233817,0.6735290923390549,0.7357357363547768
kld_temp_5.0_alpha_0.3,0.6576103547506676,0.5766365168628621,0.8275496388326836,0.6852777409219274,0.7497238013923377
linknet,0.6983941555488287,0.6175361086873917,0.8114851017675494,0.7784062891147825,0.7946015814177829
deeplab,0.620800181052525,0.5370504509501921,0.7646115186384576,0.7057941806642151,0.7340264806913899
linknet1,0.7084041624008912,0.6297537303069618,0.8025572081141923,0.7514135257705682,0.7761437564195337
